"state","placefp","county","stab","cntyname","placenm","pop10","afact"
"State code","Place code","County code","State abbreviation","County name","Place name","Population (2010)","placefp to county allocation factor"
"40","28800","40007","OK","Beaver OK","Gate town, OK",93,1 
"40","28900","40011","OK","Blaine OK","Geary city, OK",1077,0.8414 
"40","28900","40017","OK","Canadian OK","Geary city, OK",203,0.1586 
"40","28950","40019","OK","Carter OK","Gene Autry town, OK",158,1 
"40","29100","40031","OK","Comanche OK","Geronimo town, OK",1268,1 
"40","29150","40063","OK","Hughes OK","Gerty town, OK",118,1 
"40","29300","40021","OK","Cherokee OK","Gideon CDP, OK",49,1 
"40","29400","40119","OK","Payne OK","Glencoe town, OK",601,1 
"40","29600","40143","OK","Tulsa OK","Glenpool city, OK",10808,1 
"40","29850","40087","OK","McClain OK","Goldsby town, OK",1801,1 
"40","29900","40003","OK","Alfalfa OK","Goltry town, OK",249,1 
"40","30200","40139","OK","Texas OK","Goodwell town, OK",1293,1 
"40","30300","40135","OK","Sequoyah OK","Gore town, OK",977,1 
"40","30350","40075","OK","Kiowa OK","Gotebo town, OK",226,1 
"40","30400","40057","OK","Harmon OK","Gould town, OK",141,1 
"40","30600","40015","OK","Caddo OK","Gracemont town, OK",318,1 
"40","30750","40113","OK","Osage OK","Grainola town, OK",31,1 
"40","30850","40141","OK","Tillman OK","Grandfield city, OK",1038,1 
"40","30900","40097","OK","Mayes OK","Grand Lake Towne town, OK",74,1 
"40","30915","40021","OK","Cherokee OK","Grandview CDP, OK",394,1 
"40","30950","40055","OK","Greer OK","Granite town, OK",2065,1 
"40","31000","40023","OK","Choctaw OK","Grant CDP, OK",289,1 
"40","31150","40111","OK","Okmulgee OK","Grayson town, OK",159,1 
"40","31165","40001","OK","Adair OK","Greasy CDP, OK",372,1 
"40","31250","40011","OK","Blaine OK","Greenfield town, OK",93,1 
"40","31425","40131","OK","Rogers OK","Gregory CDP, OK",171,1 
"40","31600","40041","OK","Delaware OK","Grove city, OK",6623,1 
"40","31700","40083","OK","Logan OK","Guthrie city, OK",10191,1 
"40","31750","40139","OK","Texas OK","Guymon city, OK",11442,1 
"40","31900","40121","OK","Pittsburg OK","Haileyville city, OK",813,1 
"40","32050","40117","OK","Pawnee OK","Hallett town, OK",125,1 
"40","32250","40039","OK","Custer OK","Hammon town, OK",45,0.0792 
"40","32250","40129","OK","Roger Mills OK","Hammon town, OK",523,0.9208 
"40","32350","40091","OK","McIntosh OK","Hanna town, OK",138,1 
"40","32550","40139","OK","Texas OK","Hardesty town, OK",212,1 
"40","32750","40109","OK","Oklahoma OK","Harrah city, OK",5095,1 
"40","32850","40121","OK","Pittsburg OK","Hartshorne city, OK",2125,1 
"40","32900","40101","OK","Muskogee OK","Haskell town, OK",2007,1 
"40","33000","40067","OK","Jefferson OK","Hastings town, OK",143,1 
"40","33150","40089","OK","McCurtain OK","Haworth town, OK",297,1 
"40","33300","40065","OK","Jackson OK","Headrick town, OK",94,1 
"40","33350","40019","OK","Carter OK","Healdton city, OK",2788,1 
"40","33400","40079","OK","Le Flore OK","Heavener city, OK",3414,1 
"40","33450","40003","OK","Alfalfa OK","Helena town, OK",1403,1 
"40","33600","40013","OK","Bryan OK","Hendrix town, OK",79,1 
"40","33700","40073","OK","Kingfisher OK","Hennessey town, OK",2131,1 
"40","33750","40111","OK","Okmulgee OK","Henryetta city, OK",5927,1 
"40","34150","40099","OK","Murray OK","Hickory town, OK",71,1 
"40","34650","40047","OK","Garfield OK","Hillsdale town, OK",121,1 
"40","34750","40015","OK","Caddo OK","Hinton town, OK",3196,1 
"40","34850","40011","OK","Blaine OK","Hitchcock town, OK",121,1 
"40","34900","40091","OK","McIntosh OK","Hitchita town, OK",88,1 
"40","35000","40075","OK","Kiowa OK","Hobart city, OK",3756,1 
"40","35300","40111","OK","Okmulgee OK","Hoffman town, OK",127,1 
"40","35400","40063","OK","Hughes OK","Holdenville city, OK",5771,1 
"40","35500","40057","OK","Harmon OK","Hollis city, OK",2060,1 
"40","35550","40141","OK","Tillman OK","Hollister town, OK",50,1 
